,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,companyName,industry,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,isMunicipalBond,quotepreopenstatus,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%
118,JUNIORBEES,Nifty Next 50,775.02,793.8,766.45,790.75,0.62,0.08,111252,88077095.88,790.6472,811.9,443.55,10-MAR-14,DIVIDEND-RS.1 PER UNIT,64.65039770124515,2.9796710380663387,790.13,2.6050006158393866,-78.27753353624169,https://nsearchives.nseindia.com/today/JUNIORBEESEQN.svg,65.36,28-Jul-2023,https://nsearchives.nseindia.com/365d/JUNIORBEES-EQ.svg,28-Jun-2024,3.82,https://nsearchives.nseindia.com/30d/JUNIORBEES-EQ.svg,Nippon India ETF Nifty Next 50 Junior BeES,MUTUAL FUND,['EQ'],[],False,False,True,False,False,[],True,False,INF732E01045,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",778.2760000000001,12.473999999999933,1.5774897249446644,14.546666087233634
111,NIF100BEES,Nifty 100 TRI,272.01,272.98,270.88,271.71,0.53,0.20,13351,3630937.96,271.3403,284.84,196,-,-,30.366567507916702,3.2254387964440205,271.18,4.609605392501052,-38.627551020408156,https://nsearchives.nseindia.com/today/NIF100BEESEQN.svg,32.56,28-Jul-2023,https://nsearchives.nseindia.com/365d/NIF100BEES-EQ.svg,28-Jun-2024,3.42,https://nsearchives.nseindia.com/30d/NIF100BEES-EQ.svg,NIPPON INDIA ETF NIFTY 100,,['EQ'],[],False,False,True,False,False,[],True,False,INF204K014N5,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",267.1735,4.5364999999999895,1.6696109822972987,10.816101798605155
36,MONIFTY500,Motilal Oswal Nifty 500 ETF,23.54,23.61,23.35,23.6,0.14,0.60,352483,8300974.65,23.5359,24.5,16.3,-,-,Infinity,3.5996488147497816,23.46,3.6734693877550963,-44.785276073619634,https://nsearchives.nseindia.com/today/MONIFTY500EQN.svg,-,-,-,28-Jun-2024,3.44,https://nsearchives.nseindia.com/30d/MONIFTY500-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal Nifty 500 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF247L01BU1,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",23.205,0.3950000000000031,1.6737288135593351,11.742424242424244
61,SENSEXETF,Mirae Asset S&P BSE Sensex ETF,82.12,82.62,81.92,82.49,0.38,0.46,7824,644854.08,82.12,82.62,62.27,-,-,Infinity,2.7528649725959067,82.11,0.15734688937304486,-32.47149510197525,https://nsearchives.nseindia.com/today/SENSEXETFEQN.svg,-,-,-,28-Jun-2024,2.88,https://nsearchives.nseindia.com/30d/SENSEXETF-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset S&P BSE Sensex ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01KT9,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",81.0945,1.3954999999999984,1.6917202085101206,10.266007218286315
69,SENSEXIETF,SENSEX,919.6,921.98,909.4,919.21,3.63,0.40,1095,1004980.05,914.4032,975,720,-,-,Infinity,2.9500375194597233,915.58,5.722051282051278,-27.66805555555556,https://nsearchives.nseindia.com/today/SENSEXIETFEQN.svg,-,-,-,28-Jun-2024,2.94,https://nsearchives.nseindia.com/30d/SENSEXIETF-EQ.svg,ICICI Prudential BSE Sensex ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF346A01034,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",903.1815,16.028500000000008,1.7437255904526723,10.444802230018752
71,HDFCSENSEX,SENSEX,90.99,90.99,90.01,90.76,0.35,0.39,33474,3036761.28,90.2612,91.4,69.47,02-FEB-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 250.361/- PER SHARE TO RS 25.0361/- PER SHARE,-87.54904381704942,3.101215494717714,90.41,0.7002188183807445,-30.64632215344754,https://nsearchives.nseindia.com/today/HDFCSENSEXEQN.svg,-87.53,28-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCSENSEX-EQ.svg,28-Jun-2024,3.05,https://nsearchives.nseindia.com/30d/HDFCSENSEX-EQ.svg,HDFC S&P BSE SENSEX ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1HX2,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",89.151,1.6090000000000089,1.772807404142804,10.11890317884009
56,HDFCNIFTY,Nifty 50,278.32,278.32,271.75,274.4,1.35,0.49,15914,4359799.44,273.4388,285.01,206.3,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 761.25/- PER UNIT TO RS 76.125/- PER UNIT,27.527071617790583,3.387212237670002,273.05,3.7226763973193973,-33.010179350460476,https://nsearchives.nseindia.com/today/HDFCNIFTYEQN.svg,27.37,28-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCNIFTY-EQ.svg,28-Jun-2024,3.1,https://nsearchives.nseindia.com/30d/HDFCNIFTY-EQ.svg,HDFC NIFTY 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1965,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",269.53249999999997,4.867500000000007,1.773870262390673,10.7434014044717
78,UTISENSETF,SENSEX,881.01,887.15,876.1,886.25,3.07,0.35,1368,1211924.88,881.3546,898,673.02,26-FEB-21, INTERIM DIVIDEND - RS 13.56 PER UNIT,22.693228856616777,2.713133373510728,883.18,1.3084632516703787,-31.682565154081605,https://nsearchives.nseindia.com/today/UTISENSETFEQN.svg,24.68,28-Jul-2023,https://nsearchives.nseindia.com/365d/UTISENSETF-EQ.svg,28-Jun-2024,3.04,https://nsearchives.nseindia.com/30d/UTISENSETF-EQ.svg,UTI BSE Sensex ETF,MUTUAL FUND,['EQ'],[],False,False,True,False,False,[],True,False,INF789FB1X58,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",870.3685000000002,15.881499999999846,1.7919887165020982,10.020731692177824
103,NIFTYETF,Nifty 50,264.34,265.2,263.37,264.67,0.65,0.25,10329,2730161.28,263.904,267.46,198.94,-,-,Infinity,3.3826803640482894,264.02,1.0431466387497061,-33.04011259676285,https://nsearchives.nseindia.com/today/NIFTYETFEQN.svg,-,-,-,28-Jun-2024,3.46,https://nsearchives.nseindia.com/30d/NIFTYETF-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Nifty 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01EG9,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",259.9035,4.766500000000008,1.8009219027468195,10.661872308399897
107,AXISNIFTY,Nifty 50,269.99,269.99,266.26,269.14,0.6,0.22,9387,2525478.48,268.5362,275,197.9,23-JUL-20, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 10/- PER SHARE,27.246938679022268,3.3484371400045965,268.54,2.1309090909090957,-35.99797877716017,https://nsearchives.nseindia.com/today/AXISNIFTYEQN.svg,27.55,28-Jul-2023,https://nsearchives.nseindia.com/365d/AXISNIFTY-EQ.svg,28-Jun-2024,3.57,https://nsearchives.nseindia.com/30d/AXISNIFTY-EQ.svg,AXIS MUTUAL FUND - Axis NIFTY 50 ETF,,['EQ'],[],False,False,True,False,False,[],True,False,INF846K01W98,False,"{'equityTime': '30-Jul-2024 14:59:30', 'preOpenTime': '30-Jul-2024 09:07:34', 'QuotePreOpenFlag': False}",264.27049999999997,4.869500000000016,1.8092814148770218,10.766318215490985
