,symbol,token,opening,closing,prevClose,returns90,returns
47,"1936    HEALTHIETF-EQ
Name: TradingSymbol, dtype: object",3626,119.5,134.55,134.1,12.594142259414236,0.33557046979867045
48,"2046    GSEC5IETF-EQ
Name: TradingSymbol, dtype: object",8342,55.12,56.54,56.41,2.5761973875181456,0.23045559297997265
49,"2048    GSEC10IETF-EQ
Name: TradingSymbol, dtype: object",13143,227.24,233.29,233.0,2.662383383207174,0.12446351931330131
50,"2151    GOLDIETF-EQ
Name: TradingSymbol, dtype: object",19679,63.87,64.49,63.89,0.9707217786128033,0.9391141023634283
51,"2153    GOLDETFADD-EQ
Name: TradingSymbol, dtype: object",15356,72.6,73.2,72.2,0.8264462809917473,1.3850415512465373
52,"2154    GOLDETF-EQ
Name: TradingSymbol, dtype: object",14286,72.75,73.0,72.7,0.3436426116838488,0.41265474552956966
53,"2248    FMCGIETF-EQ
Name: TradingSymbol, dtype: object",5306,549.9,63.59,62.97,-88.4360792871431,0.9845958392885573
54,"2265    FINIETF-EQ
Name: TradingSymbol, dtype: object",12578,23.21,25.5,25.67,9.866436880654886,-0.6622516556291457
55,"2359    EBBETF0433-EQ
Name: TradingSymbol, dtype: object",13139,1105.25,1129.0,1130.0,2.1488351051798236,-0.08849557522123894
56,"2360    EBBETF0431-EQ
Name: TradingSymbol, dtype: object",22239,1210.13,1233.2,1232.0,1.9064067496880446,0.0974025974026011
57,"2361    EBBETF0430-EQ
Name: TradingSymbol, dtype: object",16253,1354.5,1383.0,1383.1,2.104097452934662,-0.007230135203521731
58,"2362    EBBETF0425-EQ
Name: TradingSymbol, dtype: object",22243,1202.0,1222.5,1222.5,1.7054908485856906,0.0
59,"2495    CPSEETF-EQ
Name: TradingSymbol, dtype: object",2328,83.5,102.87,103.0,23.197604790419167,-0.1262135922330053
60,"2505    CONSUMIETF-EQ
Name: TradingSymbol, dtype: object",6446,102.68,117.38,116.61,14.31632255551226,0.660320727210356
61,"2514    COMMOIETF-EQ
Name: TradingSymbol, dtype: object",13198,85.9,95.0,94.1,10.593713620488934,0.9564293304994748
62,"2616    BSLSENETFG-EQ
Name: TradingSymbol, dtype: object",5957,71.96,79.75,79.94,10.825458588104514,-0.23767825869401768
63,"2622    BSLGOLDETF-EQ
Name: TradingSymbol, dtype: object",23804,65.64,65.7,65.46,0.09140767824497605,0.36663611365720916
64,"2625    BSE500IETF-EQ
Name: TradingSymbol, dtype: object",3001,34.19,39.06,39.05,14.243930973969011,0.025608194622292232
65,"2728    BBNPNBETF-EQ
Name: TradingSymbol, dtype: object",24117,52.43,52.55,51.03,0.22887659736791424,2.978640015677045
