,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,companyName,activeSeries,debtSeries,isFNOSec,isCASec,isSLBSec,isDebtSec,isSuspended,tempSuspendedSeries,isETFSec,isDelisted,isin,isMunicipalBond,quotepreopenstatus,industry,20DMA,CMP-20DMA,CMP-20DMA_%,3m_change%
68,HDFCSML250,HDFC NIFTY Smallcap 250 ETF,172.2,176.6,170.1,173.68,0.7,0.40,583798,101154679.46,172.2784,183,108.4,-,-,56.46846846846848,2.098642055140787,172.98,5.092896174863384,-60.221402214022135,https://nsearchives.nseindia.com/today/HDFCSML250EQN.svg,55.56,21-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCSML250-EQ.svg,21-Jun-2024,0.99,https://nsearchives.nseindia.com/30d/HDFCSML250-EQ.svg,HDFC Mutual Fund - HDFC NIFTY Smallcap 250 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1FB2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,175.10449999999997,-1.4244999999999663,-0.8201865499769497,12.370600414078678
137,MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF,17.9,17.9,17.03,17.36,-0.01,-0.06,284186,4913575.94,17.2027,18.59,13,-,-,Infinity,1.9976498237367795,17.37,6.616460462614311,-33.53846153846153,https://nsearchives.nseindia.com/today/MOSMALL250EQN.svg,-,-,-,21-Jun-2024,1.52,https://nsearchives.nseindia.com/30d/MOSMALL250-EQ.svg,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Smallcap 250 ETF,['EQ'],[],False,False,False,False,False,[],True,False,INF247L01CH6,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,17.4995,-0.13950000000000173,-0.8035714285714386,13.168187744458928
36,NEXT50IETF,Nifty Next 50,72,76.45,72,74.95,0.72,0.97,295969,22076327.71,74.0632,79.15,43.75,15-NOV-18, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,Infinity,0.8341181218888801,74.23,5.306380290587495,-71.31428571428573,https://nsearchives.nseindia.com/today/NEXT50IETFEQN.svg,-,-,-,21-Jun-2024,0.37,https://nsearchives.nseindia.com/30d/NEXT50IETF-EQ.svg,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF109KC1NS5,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,75.44449999999999,-0.49449999999998795,-0.6597731821213982,15.467570482206142
91,MIDQ50ADD,Nifty Midcap 150 Quality 50 Index,257.9,257.9,247,250.8,0.43,0.17,7503,1882877.85,249.0997,262,177.55,-,-,Infinity,1.145346023552187,250.37,4.274809160305339,-41.25598422979442,https://nsearchives.nseindia.com/today/MIDQ50ADDEQN.svg,-,-,-,21-Jun-2024,0.89,https://nsearchives.nseindia.com/30d/MIDQ50ADD-EQ.svg,DSP  Mutual Fund - DSP Nifty Midcap 150 Quality 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF740KA1QL0,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,252.23600000000002,-1.436000000000007,-0.5725677830941017,19.19585571027994
21,JUNIORBEES,Nifty Next 50,779.98,779.98,751.1,770.18,8.77,1.15,190732,145852760.4,759.2015,811.9,443.55,10-MAR-14,DIVIDEND-RS.1 PER UNIT,63.82625712584019,1.0602283164938888,761.41,5.138563862544652,-73.63995040018034,https://nsearchives.nseindia.com/today/JUNIORBEESEQN.svg,62.86,21-Jul-2023,https://nsearchives.nseindia.com/365d/JUNIORBEES-EQ.svg,21-Jun-2024,0.51,https://nsearchives.nseindia.com/30d/JUNIORBEES-EQ.svg,Nippon India ETF Nifty Next 50 Junior BeES,['EQ'],[],False,False,True,False,False,[],True,False,INF732E01045,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",MUTUAL FUND,774.109,-3.9290000000000873,-0.5101404866394982,15.40178905887112
22,HDFCNEXT50,HDFC NIFTY NEXT 50 ETF,72.33,73.95,71.5,72.94,0.82,1.14,110821,8063335.96,71.9147,76.9,42.9,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 418.18/- PER SHARE TO RS 41.81/- PER SHARE,-83.59165860571841,1.1931187569367363,72.12,5.149544863459048,-70.02331002331003,https://nsearchives.nseindia.com/today/HDFCNEXT50EQN.svg,-83.76,21-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCNEXT50-EQ.svg,21-Jun-2024,0.54,https://nsearchives.nseindia.com/30d/HDFCNEXT50-EQ.svg,HDFC Mutual Fund - HDFC NIFTY NEXT 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1HS2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,73.3015,-0.3615000000000066,-0.49561283246504884,15.649278579356265
14,SETFNN50,Nifty Next 50,753.99,762.93,744.66,762.55,9.38,1.25,32546,24647085.8,751.8734,788,445.65,02-NOV-17, DIVIDEND - RS 7/- PER UNIT,63.746268977216594,1.0521991492293954,753.17,3.229695431472087,-71.10961516885448,https://nsearchives.nseindia.com/today/SETFNN50EQN.svg,62.27,21-Jul-2023,https://nsearchives.nseindia.com/365d/SETFNN50-EQ.svg,21-Jun-2024,0.49,https://nsearchives.nseindia.com/30d/SETFNN50-EQ.svg,SBI-ETF Nifty Next 50,['EQ'],[],False,False,True,False,False,[],True,False,INF200KA1598,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",MUTUAL FUND,765.9715,-3.4215000000000373,-0.44869188905646024,16.24237804878048
33,UTINEXT50,Nifty Next 50,78.25,78.25,75.15,76.75,0.76,1.00,60215,4592598.05,75.6494,80.6,44.85,25-MAR-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO Re 1/- PER UNIT,63.6809554275965,1.0134245854172097,75.99,4.776674937965254,-71.12597547380156,https://nsearchives.nseindia.com/today/UTINEXT50EQN.svg,62.51,21-Jul-2023,https://nsearchives.nseindia.com/365d/UTINEXT50-EQ.svg,21-Jun-2024,0.58,https://nsearchives.nseindia.com/30d/UTINEXT50-EQ.svg,UTI Mutual Fund - UTI NIfty Next 50 Exchange Traded Fund - UTI NIFTY N,['EQ'],[],False,False,True,False,False,[],True,False,INF789F1AUW9,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,77.05300000000001,-0.3030000000000115,-0.3947882736156501,15.448255114320089
11,ABSLNN50ET,Nifty Next 50,76.3,76.3,73.34,75.04,0.94,1.27,14859,1109967.3,73.8462,80,43.9,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,61.030042918454946,1.200269723533379,74.1,6.199999999999992,-70.9339407744875,https://nsearchives.nseindia.com/today/ABSLNN50ETEQN.svg,62.36,21-Jul-2023,https://nsearchives.nseindia.com/365d/ABSLNN50ET-EQ.svg,21-Jun-2024,0.42,https://nsearchives.nseindia.com/30d/ABSLNN50ET-EQ.svg,Aditya Birla Sun Life Nifty Next 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF209KB16D7,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,75.328,-0.2879999999999967,-0.38379530916843907,16.0891089108911
8,NEXT50,Nifty Next 50,746.15,746.15,716.85,734.43,10.02,1.38,5862,4248718.98,723.937,757.98,431,-,-,Infinity,1.162550448353275,724.41,3.106942135676412,-70.4013921113689,https://nsearchives.nseindia.com/today/NEXT50EQN.svg,-,-,-,21-Jun-2024,0.33,https://nsearchives.nseindia.com/30d/NEXT50-EQ.svg,Mirae Asset Mutual Fund - MIRAE ASSET NIFTY NEXT 50 ETF (MANXT50) - Mi,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01FN2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,737.1949999999999,-2.7649999999999864,-0.37648244216603166,15.754882027519018
45,AUTOBEES,Nifty Auto TRI,260.73,260.73,251.95,256.85,1.95,0.77,184168,47088074.24,254.2117,264.48,153.8,-,-,63.06901149133391,-0.6152298405819436,254.9,2.884906231094977,-67.00260078023408,https://nsearchives.nseindia.com/today/AUTOBEESEQN.svg,61.3,21-Jul-2023,https://nsearchives.nseindia.com/365d/AUTOBEES-EQ.svg,21-Jun-2024,-0.12,https://nsearchives.nseindia.com/30d/AUTOBEES-EQ.svg,Nippon India Mutual Fund - Nippon India Nifty Auto ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF204KC1337,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,257.48,-0.6299999999999955,-0.24527934592174241,15.792083671445331
52,MNC,Kotak Nifty MNC ETF,31.17,31.17,30.62,31.07,0.19,0.62,21243,657045.99,30.7709,32.76,21.43,-,-,Infinity,0.8766233766233752,30.88,5.158730158730152,-44.98366775548297,https://nsearchives.nseindia.com/today/MNCEQN.svg,-,-,-,21-Jun-2024,0.85,https://nsearchives.nseindia.com/30d/MNC-EQ.svg,Kotak Mahindra Mutual Fund - Kotak Nifty MNC ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF174KA1JF2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,31.115999999999996,-0.04599999999999582,-0.14805278403603417,16.7167543200601
88,HDFCMID150,HDFC NIFTY Midcap 150 ETF,20.55,21.48,19.96,21.17,0.04,0.19,397546,8380269.68,20.9141,22.49,13.6,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 115.95/- PER SHARE TO RS 11.59/- PER SHARE,-84.70265192571718,2.369439071566741,21.13,5.869275233437069,-55.66176470588237,https://nsearchives.nseindia.com/today/HDFCMID150EQN.svg,-84.69,21-Jul-2023,https://nsearchives.nseindia.com/365d/HDFCMID150-EQ.svg,21-Jun-2024,1.25,https://nsearchives.nseindia.com/30d/HDFCMID150-EQ.svg,HDFC Mutual Fund - HDFC NIFTY Midcap 150 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF179KC1HT0,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,21.197499999999998,-0.027499999999996305,-0.1299008030231285,15.683060109289624
23,SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,52.27,52.83,50.83,52.25,0.58,1.12,650695,33784084.4,51.4577,55.25,39.24,-,-,Infinity,2.89484048838125,51.67,5.429864253393665,-33.15494393476044,https://nsearchives.nseindia.com/today/SMALLCAPEQN.svg,-,-,-,21-Jun-2024,1.41,https://nsearchives.nseindia.com/30d/SMALLCAP-EQ.svg,Mirae Asset MF-Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,['EQ'],[],False,False,False,False,False,[],True,False,INF769K01LC3,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,52.311,-0.06099999999999994,-0.11674641148325347,14.033173286774334
28,MID150BEES,Nifty Midcap 150 TRI,218.99,218.99,211.93,216.34,2.28,1.07,447292,96149888.32,213.5744,222.99,136.5,-,-,53.73791927231382,2.2787443267776064,214.06,2.9821965110543096,-58.49084249084249,https://nsearchives.nseindia.com/today/MID150BEESEQN.svg,52.3,21-Jul-2023,https://nsearchives.nseindia.com/365d/MID150BEES-EQ.svg,21-Jun-2024,0.52,https://nsearchives.nseindia.com/30d/MID150BEES-EQ.svg,NIPPON INDIA ETF NIFTY MIDCAP 150,['EQ'],[],False,False,True,False,False,[],True,False,INF204KB1V68,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,216.51600000000002,-0.17600000000001614,-0.08135342516410102,15.504538174052318
30,AUTOIETF,Nifty Auto Index,25.45,25.79,25.15,25.72,0.27,1.06,328947,8398016.91,25.4216,26.9,15.27,01-MAR-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,Infinity,-0.38729666924864997,25.45,4.386617100371747,-68.43483955468238,https://nsearchives.nseindia.com/today/AUTOIETFEQN.svg,-,-,-,21-Jun-2024,-0.31,https://nsearchives.nseindia.com/30d/AUTOIETF-EQ.svg,ICICI Prudential Mutual Fund - ICICI Prudential  Nifty Auto ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF109KC10V2,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,25.7395,-0.01950000000000074,-0.07581648522550832,16.27486437613019
20,MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,20.45,21.7,20.45,21.31,0.25,1.19,993009,20952489.9,21.0488,22.25,13.45,-,-,Infinity,2.304368698991841,21.06,4.224719101123601,-58.43866171003718,https://nsearchives.nseindia.com/today/MIDCAPETFEQN.svg,-,-,-,21-Jun-2024,0.48,https://nsearchives.nseindia.com/30d/MIDCAPETF-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01IC9,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,21.312,-0.0020000000000024443,-0.0093852651337515,15.941240478781282
31,NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),209.2,211.47,209.2,211.47,2.22,1.06,2995,630267.8,208.5734,217,141.57,-,-,Infinity,2.3324461650133044,209.25,2.548387096774194,-49.37486755668575,https://nsearchives.nseindia.com/today/NIFMID150EQN.svg,-,-,-,21-Jun-2024,0.86,https://nsearchives.nseindia.com/30d/NIFMID150-EQ.svg,UTI Mutual Fund - UTI Nifty Midcap 150 Exchange Traded Fund (ETF),['EQ'],[],False,False,True,False,False,[],True,False,INF789F1AYX9,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,211.467,0.002999999999985903,0.0014186409419709193,15.557377049180326
24,ALPHA,NIFTY Alpha 50 Index,54.8,55.77,54.03,55.49,0.61,1.11,914562,50410657.44,54.7135,57.87,31.5,-,-,Infinity,2.8354336545589347,54.88,4.112666321064447,-76.15873015873017,https://nsearchives.nseindia.com/today/ALPHAEQN.svg,-,-,-,21-Jun-2024,1.27,https://nsearchives.nseindia.com/30d/ALPHA-EQ.svg,Kotak Mahindra Mutual Fund - Kotak Nifty Alpha 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF174KA1IA5,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,55.48449999999999,0.005500000000012051,0.00991169580106695,18.56837606837608
37,UTISXN50,BSE Sensex Next 50,87.49,88.96,87.49,88,0.83,0.95,2539,223635.12,86.7819,90.97,46.88,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,55.50450609648347,2.017157431022484,87.17,3.2648125755743638,-87.71331058020478,https://nsearchives.nseindia.com/today/UTISXN50EQN.svg,52.13,21-Jul-2023,https://nsearchives.nseindia.com/365d/UTISXN50-EQ.svg,21-Jun-2024,0.82,https://nsearchives.nseindia.com/30d/UTISXN50-EQ.svg,UTI BSE Sensex Next 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF789F1AUU3,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,87.97900000000001,0.020999999999986585,0.02386363636362112,14.063512637718723
15,MIDCAP,Nifty Midcap 50 Index,159.49,161.4,156.9,160.88,1.96,1.23,34936,5585218.32,158.1644,165.48,103.56,-,-,Infinity,2.262903635901349,158.92,2.7797921198936395,-55.349555813055225,https://nsearchives.nseindia.com/today/MIDCAPEQN.svg,-,-,-,21-Jun-2024,0.87,https://nsearchives.nseindia.com/30d/MIDCAP-EQ.svg,Kotak Nifty Midcap 50 ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF174KA1IB3,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,160.84,0.03999999999999204,0.024863252113371485,15.657800143781452
84,BFSI,Nifty Financial Services Index,24.81,24.81,23.95,24.18,0.06,0.25,139101,3357898.14,24.1207,24.95,19,-,-,Infinity,3.2450896669513147,24.12,3.086172344689377,-27.263157894736842,https://nsearchives.nseindia.com/today/BFSIEQN.svg,-,-,-,21-Jun-2024,2.77,https://nsearchives.nseindia.com/30d/BFSI-EQ.svg,Mirae Asset Mutual Fund - Mirae Asset Nifty Financial Services ETF,['EQ'],[],False,False,True,False,False,[],True,False,INF769K01HI8,False,"{'equityTime': '22-Jul-2024 13:58:28', 'preOpenTime': '22-Jul-2024 09:07:28', 'QuotePreOpenFlag': False}",,24.104000000000003,0.07599999999999696,0.3143093465673985,11.582833410244568
